院校名称,有数据的年份,缺失的年份,缺失年数
四川国际标榜职业学院,2021、2022,2023、2024,2
四川建筑职业技术学院,2021、2022,2023、2024,2
四川交通职业技术学院,2021、2022,2023、2024,2
四川旅游学院,2023、2024,2021、2022,2
四川外国语大学成都学院,2021、2022,2023、2024,2
四川西南航空职业学院,2021、2022,2023、2024,2
四川长江职业学院,2021、2022,2023、2024,2
四川中医药高等专科学校,2021、2022,2023、2024,2
苏州百年职业学院,2021、2022,2023、2024,2
苏州工业园区服务外包职业学院,2021、2022,2023、2024,2
苏州工业园区职业技术学院,2021、2022,2023、2024,2
苏州工业职业技术学院,2021、2022,2023、2024,2
苏州农业职业技术学院,2021、2022,2023、2024,2
苏州市职业大学,2021、2022,2023、2024,2
苏州卫生职业技术学院,2021、2022,2023、2024,2
宿迁学院,2023、2024,2021、2022,2
宿迁职业技术学院,2021、2022,2023、2024,2
随州职业技术学院,2021、2022,2023、2024,2
台州科技职业学院,2021、2022,2023、2024,2
太湖创意职业技术学院,2021、2022,2023、2024,2
泰州职业技术学院,2021、2022,2023、2024,2
唐山职业技术学院,2021、2022,2023、2024,2
天津滨海职业学院,2021、2022,2023、2024,2
天津城市职业学院,2021、2022,2023、2024,2
天津电子信息职业技术学院,2021、2022,2023、2024,2
天津国土资源和房屋职业学院,2021、2022,2023、2024,2
天津交通职业学院,2021、2022,2023、2024,2
天津轻工职业技术学院,2021、2022,2023、2024,2
天津商务职业学院,2021、2022,2023、2024,2
天津生物工程职业技术学院,2021、2022,2023、2024,2
天津市职业大学,2021、2022,2023、2024,2
天津铁道职业技术学院,2021、2022,2023、2024,2
天津现代职业技术学院,2021、2022,2023、2024,2
铁岭卫生职业学院,2021、2022,2023、2024,2
铜仁职业技术学院,2021、2022,2023、2024,2
潍坊医学院,2021、2022,2023、2024,2
温州大学,2023、2024,2021、2022,2
无锡城市职业技术学院,2021、2022,2023、2024,2
无锡工艺职业技术学院,2021、2022,2023、2024,2
梧州职业学院,2021、2022,2023、2024,2
武昌职业学院,2021、2022,2023、2024,2
武汉城市职业学院,2021、2022,2023、2024,2
武汉传媒学院,2023、2024,2021、2022,2
武汉船舶职业技术学院,2021、2022,2023、2024,2
武汉电力职业技术学院,2021、2022,2023、2024,2
武汉交通职业学院,2021、2022,2023、2024,2
武汉警官职业学院,2021、2022,2023、2024,2
武汉民政职业学院,2021、2022,2023、2024,2
武汉软件工程职业学院,2021、2022,2023、2024,2
武汉商贸职业学院,2021、2022,2023、2024,2
武汉铁路桥梁职业学院,2021、2022,2023、2024,2
武汉铁路职业技术学院,2021、2022,2023、2024,2
武汉外语外事职业学院,2021、2022,2023、2024,2
武汉职业技术学院,2021、2022,2023、2024,2
西安翻译学院,2021、2024,2022、2023,2
西安高新科技职业学院,2021、2022,2023、2024,2
西安工商学院,2023、2024,2021、2022,2
西安航空职业技术学院,2021、2022,2023、2024,2
西安交通工程学院,2021、2022,2023、2024,2
西安美术学院,2021、2024,2022、2023,2
西安汽车职业大学,2021、2022,2023、2024,2
西昌学院,2023、2024,2021、2022,2
西双版纳职业技术学院,2021、2022,2023、2024,2
仙桃职业学院,2021、2022,2023、2024,2
咸宁职业技术学院,2021、2022,2023、2024,2
香港珠海学院,2023、2024,2021、2022,2
湘南幼儿师范高等专科学校,2021、2022,2023、2024,2
湘潭医卫职业技术学院,2021、2022,2023、2024,2
湘西民族职业技术学院,2021、2022,2023、2024,2
湘中幼儿师范高等专科学校,2021、2022,2023、2024,2
襄阳职业技术学院,2021、2022,2023、2024,2
新疆政法学院,2023、2024,2021、2022,2
信阳职业技术学院,2021、2022,2023、2024,2
邢台医学高等专科学校,2021、2022,2023、2024,2
徐州生物工程职业技术学院,2021、2022,2023、2024,2
宣城职业技术学院,2021、2022,2023、2024,2
雅安职业技术学院,2021、2022,2023、2024,2
盐城工业职业技术学院,2021、2022,2023、2024,2
燕京理工学院,2021、2022,2023、2024,2
扬州工业职业技术学院,2021、2022,2023、2024,2
扬州中瑞酒店职业学院,2021、2022,2023、2024,2
阳江职业技术学院,2021、2022,2023、2024,2
伊犁师范大学,2023、2024,2021、2022,2
宜春职业技术学院,2021、2022,2023、2024,2
益阳医学高等专科学校,2021、2022,2023、2024,2
永城职业学院,2021、2022,2023、2024,2
永州师范高等专科学校,2021、2022,2023、2024,2
永州职业技术学院,2021、2022,2023、2024,2
玉溪农业职业技术学院,2021、2022,2023、2024,2
岳阳职业技术学院,2021、2022,2023、2024,2
云南大学滇池学院,2021、2022,2023、2024,2
云南国土资源职业学院,2021、2022,2023、2024,2
云南林业职业技术学院,2021、2022,2023、2024,2
云南医药健康职业学院,2021、2022,2023、2024,2
云南艺术学院,2023、2024,2021、2022,2
运城职业技术大学,2023、2024,2021、2022,2
枣庄科技职业学院,2021、2022,2023、2024,2
湛江幼儿师范专科学校,2021、2022,2023、2024,2
张家界航空工业职业技术学院,2021、2022,2023、2024,2
张家界学院,2023、2024,2021、2022,2
张家口职业技术学院,2021、2022,2023、2024,2
漳州城市职业学院,2021、2022,2023、2024,2
漳州科技职业学院,2021、2022,2023、2024,2
漳州理工职业学院,2021、2022,2023、2024,2
漳州卫生职业学院,2021、2022,2023、2024,2
漳州职业技术学院,2021、2022,2023、2024,2
长春金融高等专科学校,2021、2022,2023、2024,2
长春汽车工业高等专科学校,2021、2022,2023、2024,2
长春医学高等专科学校,2021、2022,2023、2024,2
长江工程职业技术学院,2021、2022,2023、2024,2
长江职业学院,2021、2022,2023、2024,2
长沙电力职业技术学院,2021、2022,2023、2024,2
长沙环境保护职业技术学院,2021、2022,2023、2024,2
长沙民政职业技术学院,2021、2022,2023、2024,2
长沙商贸旅游职业技术学院,2021、2022,2023、2024,2
长沙卫生职业学院,2021、2022,2023、2024,2
长沙职业技术学院,2021、2022,2023、2024,2
肇庆医学高等专科学校,2021、2022,2023、2024,2
浙江金融职业学院,2021、2022,2023、2024,2
浙江经济职业技术学院,2021、2022,2023、2024,2
浙江科技大学,2023、2024,2021、2022,2
浙江科技学院,2021、2022,2023、2024,2
浙江商业职业技术学院,2021、2022,2023、2024,2
浙江同济科技职业学院,2021、2022,2023、2024,2
浙江邮电职业技术学院,2021、2022,2023、2024,2
浙江中医药大学,2023、2024,2021、2022,2
镇江市高等专科学校,2021、2022,2023、2024,2
郑州电力高等专科学校,2021、2022,2023、2024,2
郑州澍青医学高等专科学校,2021、2022,2023、2024,2
郑州西亚斯学院,2023、2024,2021、2022,2
中山火炬职业技术学院,2021、2022,2023、2024,2
中山职业技术学院,2021、2022,2023、2024,2
中央美术学院,2023、2024,2021、2022,2
珠海城市职业技术学院,2021、2022,2023、2024,2
珠海艺术职业学院,2021、2022,2023、2024,2
遵义医药高等专科学校,2021、2022,2023、2024,2
遵义职业技术学院,2021、2022,2023、2024,2
北京第二外国语学院中瑞酒店管理学院,2021、2022、2024,2023,1
北京理工大学珠海学院,2021、2022、2023,2024,1
广西农业职业技术大学,2021、2023、2024,2022,1
贵阳康养职业大学,2021、2023、2024,2022,1
海南科技职业大学,2021、2022、2024,2023,1
河北科技工程职业技术大学,2021、2023、2024,2022,1
河北石油职业技术大学,2021、2023、2024,2022,1
河池学院,2022、2023、2024,2021,1
湖北商贸学院,2022、2023、2024,2021,1
江西应用科技学院,2022、2023、2024,2021,1
兰州石化职业技术大学,2021、2023、2024,2022,1
兰州资源环境职业技术大学,2021、2023、2024,2022,1
陆军工程大学,2022、2023、2024,2021,1
南宁理工学院,2021、2023、2024,2022,1
山西科技学院,2022、2023、2024,2021,1
上海海关学院,2022、2023、2024,2021,1
上海音乐学院,2022、2023、2024,2021,1
深圳北理莫斯科大学,2022、2023、2024,2021,1
沈阳音乐学院,2022、2023、2024,2021,1
武汉东湖学院,2021、2022、2024,2023,1
西交利物浦大学,2022、2023、2024,2021,1
西南财经大学特拉华数据科学学院,2021、2022、2023,2024,1
湘潭大学兴湘学院,2021、2022、2023,2024,1
信阳师范大学,2022、2023、2024,2021,1
云南农业大学,2022、2023、2024,2021,1
郑州工业应用技术学院,2021、2023、2024,2022,1
中国矿业大学,2021、2022、2023,2024,1
中国人民解放军陆军军医大学,2022、2023、2024,2021,1
遵义师范学院,2022、2023、2024,2021,1
